iter,acc,nmi,ari,unconf_acc,conf_acc,nb_unconf,nb_conf,nb_added_links,nb_false_added_links,nb_true_added_links,nb_dropped_links,nb_false_dropped_links,nb_true_dropped_links,nb_unconf,nb_conf,ID_global_mean,ID_local_mean,LID_mean,ID_global_error,ID_local_error
0,0.81601,0.82187,0.73611,0.99581,0.7901,716,4969,0,0,0,0,0,0,716,4969,7.26298974630938,"[8.7081947  8.56772754 7.56750486 6.76626724 6.74842248 4.34959158
 7.40336145 7.62026723 4.79979808 7.75641073 9.60534131]",9.090909090909092,1.5023565976163709,"[1.77635684e-15 0.00000000e+00 8.88178420e-16 0.00000000e+00
 8.88178420e-16 0.00000000e+00 0.00000000e+00 8.88178420e-16
 0.00000000e+00 8.88178420e-16 0.00000000e+00]"
8,0.81882,0.82679,0.74182,0.99599,0.77035,1496,4189,0,0,0,0,0,0,1496,4189,7.872072470163927,"[ 9.61791666  9.46861553  7.26612302  6.94370712  7.95820022  5.05597474
  7.80833557  9.39305543  4.84255705  7.98211632 10.25619551]",9.727272727272727,1.7044154045148103,"[1.77635684e-15 0.00000000e+00 8.88178420e-16 8.88178420e-16
 8.88178420e-16 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
16,0.82304,0.83243,0.74951,0.98446,0.72654,2317,3368,0,0,0,0,0,0,2317,3368,8.308445448607502,"[10.11276095  9.53920195  7.75082349  7.88424663  8.94721257  5.35365604
  7.71321655  9.22684738  5.19098405  8.46109731 11.21285302]",10.363636363636363,1.7522769040249284,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 1.77635684e-15
 1.77635684e-15 0.00000000e+00 1.77635684e-15 1.77635684e-15
 0.00000000e+00 1.77635684e-15 0.00000000e+00]"
24,0.83571,0.83553,0.75551,0.93342,0.72964,2959,2726,0,0,0,0,0,0,2959,2726,8.441162469087521,"[11.62068249  9.8581174   8.48337557  8.40198995  9.02353913  5.66690243
  5.08642199  9.11396887  5.65918631  8.41907452 11.51952851]",11.0,2.1122860406490984,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.77635684e-15
 1.77635684e-15 8.88178420e-16 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15 1.77635684e-15]"
32,0.83852,0.83768,0.75814,0.91407,0.69505,3724,1961,0,0,0,0,0,0,3724,1961,8.449336711157624,"[11.59534502  9.81293175  9.18098015  7.30650818  8.37508802  5.82700502
  5.94495718  8.82696709  5.79392729  9.10190359 11.17709053]",11.363636363636363,1.9496493963863821,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 1.77635684e-15
 1.77635684e-15 0.00000000e+00 8.88178420e-16 1.77635684e-15
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
40,0.83412,0.83786,0.7605,0.89848,0.66214,4137,1548,0,0,0,0,0,0,4137,1548,8.778295461338654,"[11.42924756 10.4486484   8.85493762  7.48481114  8.99858932  6.32494159
  8.69692882  8.94621602  5.10843045  8.2291886  12.03931056]",11.363636363636363,1.9540759541897887,"[1.77635684e-15 0.00000000e+00 1.77635684e-15 0.00000000e+00
 0.00000000e+00 8.88178420e-16 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.77635684e-15]"
48,0.83729,0.84153,0.76598,0.88855,0.68444,4316,1369,0,0,0,0,0,0,4316,1369,8.883606818110888,"[12.24628653 10.8236558   9.10408575  7.8397775   9.84445917  5.440273
  7.40203638  9.12757343  4.9851888   9.61968199 11.28665665]",11.545454545454545,2.190020119319447,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 8.88178420e-16
 1.77635684e-15 0.00000000e+00 8.88178420e-16 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
56,0.84398,0.84346,0.76886,0.8875,0.72492,4489,1196,0,0,0,0,0,0,4489,1196,8.717310030467688,"[11.35291582 11.46632278  8.24486839  8.27282723  9.34089745  6.10452602
  5.50293317  9.17895411  5.70665447  9.28878717 11.43072373]",11.545454545454545,2.1199986575585354,"[1.77635684e-15 1.77635684e-15 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.88178420e-16 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.77635684e-15 0.00000000e+00]"
64,0.84661,0.8446,0.77098,0.88792,0.72618,4604,1081,0,0,0,0,0,0,4604,1081,8.865580963331332,"[11.29413938 11.35324183  9.27139349  8.90296506  9.24055246  6.49732136
  5.4732445   9.05676859  5.99410601  9.81548444 10.62217348]",11.636363636363637,1.9488806296976644,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 0.00000000e+00
 1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.88178420e-16 1.77635684e-15 0.00000000e+00]"
72,0.84591,0.84465,0.77308,0.88575,0.72439,4709,976,0,0,0,0,0,0,4709,976,8.986010378965528,"[11.7083335  11.53347032  9.01990823  8.72499908  9.29784458  6.56526114
  5.79811     9.44669704  5.34351838 10.39925978 11.0087121 ]",11.636363636363637,2.124712256443027,"[0.00000000e+00 1.77635684e-15 1.77635684e-15 1.77635684e-15
 1.77635684e-15 8.88178420e-16 8.88178420e-16 0.00000000e+00
 0.00000000e+00 1.77635684e-15 0.00000000e+00]"
80,0.8431,0.84423,0.77335,0.88375,0.72009,4774,911,0,0,0,0,0,0,4774,911,9.423889021156961,"[11.74976499 12.00129627  9.04250908  8.3199548   9.78903324  6.85756046
  7.61869048  9.75395442  5.98152539 11.50675595 11.04173414]",11.909090909090908,1.9612039660422487,"[0.00000000e+00 1.77635684e-15 0.00000000e+00 0.00000000e+00
 1.77635684e-15 0.00000000e+00 8.88178420e-16 0.00000000e+00
 8.88178420e-16 1.77635684e-15 1.77635684e-15]"
88,0.84785,0.84506,0.77402,0.88407,0.75253,4796,889,0,0,0,0,0,0,4796,889,9.612726641743132,"[12.0878861  12.41526817  9.16699929  8.29066622 11.28766598  7.37333373
  6.35180249 10.00627051  4.87394745 11.91919051 11.96696261]",11.818181818181818,2.483659439535538,"[1.77635684e-15 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.88178420e-16 8.88178420e-16 0.00000000e+00
 8.88178420e-16 0.00000000e+00 0.00000000e+00]"
96,0.85189,0.84886,0.7762,0.88276,0.7806,4819,866,0,0,0,0,0,0,4819,866,9.741870966798743,"[11.5779265  13.02166254  8.91104905  8.28101491 11.15364577  7.75041414
  5.58886223  9.90604406  7.16965151 11.99628012 11.8040298 ]",11.727272727272727,2.2590648411083203,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.77635684e-15 8.88178420e-16 8.88178420e-16 1.77635684e-15
 8.88178420e-16 0.00000000e+00 0.00000000e+00]"
